sign_no,description,title,standard,council,legislation,reference,references2,notes,plan,image,pdf,local,slug
R5-500n,"Angle Parking (Rear to Curb) (Vehicles Under 6m Only) (L, LR & R Arrows)","R5-500n - Angle Parking (Rear to Curb) (Vehicles Under 6m Only) (L, LR & R Arrows)",No,Yes – available.,-,AS1742.11 (Parking Controls),Roads and Maritime Services Supplement to AS1742 - Manual of Uniform Traffic Control Devices - Part 10,Panel size and arrangements to be in accordance with AS1742.11 and AS1743,"R5-500n - Angle Parking (Rear to Curb) (L, LR & R Arrows) sign design plan Published 15 Jun 2023 PDF 129.46 KB",,,,r5-500n-angle-parking-rear-to-curb-vehicles-under-6m
R5-505n,"Angle Parking (Rear to Curb) (L, LR & R Arrows)","R5-505n - Angle Parking (Rear to Curb) (L, LR & R Arrows)",No,Yes – available.,-,As1742.11 (Parking) Clause 3.3.2(a),Roads and Maritime Services Supplement to AS1742 - Manual of Uniform Traffic Control Devices - Part 10,Panel size and arrangements to be in accordance with AS1742.11 and AS1743,"R5-505n - Angle Parking (Rear to Curb) (L, LR & R Arrows) sign design plan Published 15 Jun 2023 PDF 124.11 KB",,,,r5-505n-angle-parking-rear-to-curb-l-lr-r-arrows
R5-541n,Restricted Parking Area / Park In Bays Only,R5-541n - Restricted Parking Area / Park In Bays Only,No,Yes – available.,NSW Road Rules 168-1,Restricted Parking Areas (Roads and Maritime Services ),,TOP PANEL - Cl.400 white reflectorised legend on Cl.400 red reflectorised ground. BOTTOM PANEL - Black legend on Cl.400 white reflectorised ground.,R5-541 Restricted Parking Area / Park In Bays Only sign design plan Published 15 Jun 2023 PDF 385 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-541.gif?itok=EwlkxBTl,,,r5-541n-restricted-parking-area-park-bays-only
R5-5,Parking (5 hours) (examples only),R5-5 - Parking (5 hours) (examples only),Yes,Yes – available.,NSW Road Rules 204,AS 1742.11 (Parking Controls),Pay Parking (Roads and Maritime Services ),"Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743. Times of operation, arrows and payment method (AS 1742.11 Appendix C) will vary according to requirements.",R5-5 - Parking (5 Hours) (Examples Only) Published 24 Jul 2024 PDF 315.15 KB,,,,r5-5-parking-5-hours-examples-only
R5-450n,No Centre Parking,R5-450n - No Centre Parking,No,Yes – available.,NA,Project specific,,Not Regulatory,R5-450n - No Centre Parking Published 19 Aug 2024 PDF 60.98 KB,,,,r5-450n-no-centre-parking
R5-60,Area (name) Parking Area _p (specified times) - Major entry (example only),R5-60 - Area (name) Parking Area _p (specified times) - Major entry (example only),Yes,Yes – available.,NSW Road Rules 204,AS1742.11 (Parking),Pay Parking (Roads and Maritime Services ),1. Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743 Cl.400 standard green reflectorised '2P'. R5-201n Plate must also be used.,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-60-5.gif?itok=UcNkCOKR,,,r5-60-area-name-parking-area-p-specified-times-major
R5-551n,Long Or Heavy Vehicles Permitted To Stop Longer Than 1 Hour (Times),R5-551n - Long Or Heavy Vehicles Permitted To Stop Longer Than 1 Hour (Times),No,Yes – available.,NA,Project specific,,Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743,R5-551n - Long or Heavy Vehicles Permitted To Stop Longer Than 1 Hour (times) Published 26 May 2025 PDF 89.95 KB,,,,r5-551n-long-or-heavy-vehicles-permitted-to-stop
R5-553n,Truck Parking Area P (Truck Symbolic) Only,R5-553n Truck Parking Area P (Truck Symbolic) Only,No,Yes – available.,NSW Road Rules 177 & 229,TDT 2010/05,,-,R5-553n Truck Parking Area P (Truck Symbolic) Only Published 13 Nov 2023 PDF 122.16 KB,,,,r5-553n-truck-parking-area-p-truck-symbolic-only
R5-552n,Bus Parking Area P (Bus Symbolic) Only,R5-552n Bus Parking Area P (Bus Symbolic) Only,No,Yes – available.,NSW Road Rules 177 & 229,TDT 2010/05,,-,R5-552n Bus Parking Area P (Bus Symbolic) Only Published 13 Nov 2023 PDF 122.61 KB,,,,r5-552n-bus-parking-area-p-bus-symbolic-only
R5-58(L or R),Emergency Stopping Lane Only,R5-58 Emergency Stopping Lane Only (L or R),No,Yes – available.,NSW Road Rule 95,AS 1742.2 (Devices) Clause 3.5(c),,,R5-58 Emergency Stopping Lane Only (L or R) Published 21 Jul 2023 PDF 71.95 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-58.gif?itok=qvKuVZBk,,,r5-58-emergency-stopping-lane-only-l-or-r
R5-6,Parking (6 hours) (examples only),R5-6 - Parking (6 hours) (examples only),Yes,Yes – available.,NSW Road Rules 204,AS 1742.11 (Parking Controls),Pay Parking (Roads and Maritime Services ),"Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743. Times of operation, arrows and payment method (AS 1742.11 Appendix C) will vary according to requirements.",No design plan. R5-6 - Parking (6 hours) (examples only) R5-6 - Parking (6 hours) (examples only) sign design plan Show X more,,,,r5-6-parking-6-hours-examples-only
R5-59n,Emergency Stopping Bay,R5-59n Emergency Stopping Bay (L or R),No,Yes – available.,-,-,,-,R5-59n Emergency Stopping Bay Published 21 Jul 2023 PDF 72.38 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-59.gif?itok=6mnd2Mb-,,,r5-59n-emergency-stopping-bay-l-or-r
R5-411n,End No Stopping Area (Special for use in Pitt St Mall Only),R5-411n - End No Stopping Area (Special for use in Pitt St Mall Only),No,Yes – available.,NSW Road Rules 167,Special for use in Pitt St Mall Only,,Cl.400 red reflective annulus & slash. PATCH: Cl.400 White ref legend on Cl.400 red reflective ground. Special for use in Pitt St Mall Only.,End No Stopping Area (Special for use in Pitt St Mall Only) sign design plan Published 15 Jun 2023 PDF 37.48 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-411.gif?itok=GMpOLXVM,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r5-411.pdf,Original PDFs/r5-411.pdf,r5-411n-end-no-stopping-area-special-for-use-pitt-st
R5-41,No parking (symbolic) (Specified times) (Example Only),R5-41 - No parking (symbolic) (Specified times) (Example Only),Yes,Yes – available.,NSW Road Rules 168,AS1742.11 (Parking Controls),,Sign size and arrangements to be in accordance with AS174.11 and AS1743,R5-41 - No Parking (with times) (Example Only) Published 8 Aug 2024 PDF 364.6 KB,,,,r5-41-no-parking-symbolic-specified-times-example-only
R5-41,No Parking (with times) (Example Only) (Wide Format),R5-41 - No Parking (with times) (Example Only) (Wide Format),Yes,Yes – available.,-,AS1742.11 (Parking Controls),TDT 2002/12b - Stopping and Parking Restrictions at Intersections and Crossings,Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743,R5-41 - No Parking (with times) (Example Only) (Wide Format) Published 8 Aug 2024 PDF 333.51 KB,,,,r5-41-no-parking-times-example-only-wide-format
R5-410n,No Stopping Area (Special for Pitt St Mall Only),R5-410n - No Stopping Area (Special for Pitt St Mall Only),No,Yes – available.,NSW Road Rules 167,Special for Pitt St Mall Only,,Cl.400 red reflective annulus & slash. PATCH: Cl.400 White reflective legend on Cl.400 red reflective ground. Special for use in Pitt St Mall Only.,No Stopping Area (Special for Pitt St Mall Only) sign design plan Published 15 Jun 2023 PDF 47.77 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-410.gif?itok=duU1UvJP,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r5-410.pdf,Original PDFs/r5-410.pdf,r5-410n-no-stopping-area-special-for-pitt-st-mall-only
R5-406n,Taxi Pick-Up Point,R5-406n - Taxi Pick-Up Point,No,Yes – available.,-,TDT 2008/06 - Guidelines for the use of 'NO STOPPING TAXIS EXCEPTED 1 MINUTE LIMIT' zones and signposting Situation Diagram To be only used with R5-405n,,Panel sizes and arrangements to be accordence with AS1472.11 and AS1743,R5-406n Taxi Pick-Up Point Published 15 Jul 2024 PDF 258.32 KB,,,,r5-406n-taxi-pick-up-point
R5-41-3n,"No Parking (symbolic) (with Times) Motor Vehicles Under 4.5t Excepted (Left,Right & Both arrows)","R5-41-3n - No Parking (symbolic) (with Times) Motor Vehicles Under 4.5t Excepted (L,LR & R Arrows)",No,Yes – available.,NA,AS1742.1 General Index,,This sign prevents parking with the exemption of motor vehicles under 4.5t Gross Volume Mass(GVM). A motor vehicle is a vehicle with a motor. The intention of the sign is to only permit parking of motor vehicles under 4.5t GVM and to restrict the parking of heavy vehicles (above 4.5t GVM) as well as all types of trailers and caravans,R5-41-3n - No Parking (Symbolic) (with times) Motor Vehicles Under 4.5t Excepted Published 4 Dec 2024 PDF 126.68 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-41-3n.gif?itok=PwmUUR66,,,r5-41-3n-no-parking-symbolic-times-motor-vehicles
R5-41-6n,No Parking (Symbolic) Vehicles Over 12(t) Gvm Excepted (Left/Left-Right/Right Arrow),R5-41-6n - No Parking (Symbolic) Vehicles Over 12(t) GVM Excepted (Left/Left-Right/Right Arrow),No,Yes – available.,NA,-,,-,R5-41-6n - No Parking (Symbolic) Vehicles Over 12(t) Gvm Excepted (Left/Left-Right/Right Arrow) sign design plan Published 15 Jun 2023 PDF 234.65 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-41-6n.gif?itok=9sdVVV4O,,,r5-41-6n-no-parking-symbolic-vehicles-over-12t-gvm
R5-41-2n,No parking (symbolic) (with times) Vehicles With Applicants For Driving Tests Excepted,R5-41-2n - No parking (symbolic) (with times) Vehicles With Applicants For Driving Tests Excepted,No,Yes – available.,-,AS1742.11 (Parking Control),-,-,No parking (symbolic) (with times) Vehicles With Applicants For Driving Tests Excepted sign design plan Published 15 Jun 2023 PDF 142.12 KB,,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r5-41-2.pdf,Original PDFs/r5-41-2.pdf,r5-41-2n-no-parking-symbolic-times-vehicles-applicants
R5-445n,"No parking (symbolic) Wedding Or Funeral Vehicles Excepted (L,R,L+R arrows)","R5-445n - No parking (symbolic) Wedding Or Funeral Vehicles Excepted (L,R,L+R arrows)",No,Yes – available.,-,AS1742.11 (Parking),,Panel size and arrangements to be in accordance with AS1742.11 and AS1743,R5-445n - No Parking Wedding or Funeral Vehicles Excepted Published 3 Dec 2024 PDF 239.92 KB,,,,r5-445n-no-parking-symbolic-wedding-or-funeral
R5-41-4n,No Parking (Symbolic) Motor Vehicles Excepted,R5-41-4n - No Parking (Symbolic) Motor Vehicles Excepted,No,Yes – available.,NA,AS1742.1 General Index,,"This sign prevents parking with the exemption of motor vehicles. A motor vehicle is a vehicle with a motor. The intention of the sign is to allow the parking of motor vehicles, and restrict the parking of all types of trailers and caravans","R5-41-4n - No Parking (symbolic) Motor Vehicles Excepted (L, LR & R Arrows) Published 5 Dec 2024 PDF 171.7 KB",,,,r5-41-4n-no-parking-symbolic-motor-vehicles-excepted
R5-60-1n,Area (name) Parking Area _p Coupon (specified times) - Major entry (Example Only),R5-60-1n - Area (name) Parking Area _p Coupon (specified times) - Major entry (Example Only),No,Yes – available.,-,AS1742.11 (Parking Controls),Pay Parking (Roads and Maritime Services ),1. Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743. 2. R5-201n Plate must also be used.,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-60-1.gif?itok=dyicv4pS,,,r5-60-1n-area-name-parking-area-p-coupon-specified
R5-61-1n,Area (name) Parking Area _p Coupon (specified times) - Minor entry (Example Only),R5-61-1n - Area (name) Parking Area _p Coupon (specified times) - Minor entry (Example Only),No,Yes – available.,NSW Road Rules 204,AS1742.11 (Parking Controls),Pay Parking (Roads and Maritime Services ),1. Panel size and arrangements to be in accordance with AS1742.11 and AS1473 2. R5-201-1n Plate must also be used.,No design plan.,,,,r5-61-1n-area-name-parking-area-p-coupon-specified
R5-60-3n,Area (name) Parking Area _p Ticket (specified times) - Major entry (Example Only),R5-60-3n - Area (name) Parking Area _p Ticket (specified times) - Major entry (Example Only),No,Yes – available.,NSW Road Rules 204,AS1742.11 (Parking Controls),Pay Parking (Roads and Maritime Services ),1. Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743 2. R5-201n Plate must also be used.,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-60-3.gif?itok=tLsqA_Q0,,,r5-60-3n-area-name-parking-area-p-ticket-specified
R5-61-3n,Area (name) Parking Area _p Ticket (specified times) - Minor entry (Example Only),R5-61-3n - Area (name) Parking Area _p Ticket (specified times) - Minor entry (Example Only),No,Yes – available.,NSW Road Rules 204,AS1742.11 (Parking Controls),Pay Parking (Roads and Maritime Services ),1. Panel size and arrangements to be in accordance with AS1742.11 and AS1473 2. R5-201n Plate must also be used.,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-61-3.gif?itok=Jm4OuzTu,,,r5-61-3n-area-name-parking-area-p-ticket-specified
R5-60-2n,Area (name) Parking Area _p Meter (specified times) - Major entry (Example Only),R5-60-2n - Area (name) Parking Area _p Meter (specified times) - Major entry (Example Only),No,Yes – available.,NSW Road Rules 204,AS1742.11 (Parking Controls),Pay Parking (Roads and Maritime Services ),1. Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743 2. R5-201n Plate must also be used.,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-60-2.gif?itok=FOJGlkdZ,,,r5-60-2n-area-name-parking-area-p-meter-specified
R5-61-2n,Area (name) Parking Area _p Meter (specified times) - Minor entry (Example Only),R5-61-2n - Area (name) Parking Area _p Meter (specified times) - Minor entry (Example Only),No,Yes – available.,NSW Road Rules 204,AS1742.11 (Parking Controls),Pay Parking (Roads and Maritime Services ),1. Panel size and arrangements to be in accordance with AS1742.11 and AS1743 2. R5-201 Plate must also be used.,No design plan.,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-61-2.gif?itok=gCOrzIuP,,,r5-61-2n-area-name-parking-area-p-meter-specified
R5-60-4n,Special Event Parking Area _p - Major entry (Example Only),R5-60-4n - Special Event Parking Area _p - Major entry (Example Only),No,Yes – available.,NSW Road Rules 79,AS1742.11 (Parking),Pay Parking (Roads and Maritime Services ),"1. Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743 TOP PANEL - Black legend and border on Cl.400 yellow reflectorised ground. BOTTOM PANEL - Black legend and border on Cl.400 white reflectorised ground. Cl.400 standard green reflectorised '2P' Cl.400 red reflectorised 'AREA____'. Time plate is black legend on Cl.400 white reflectorised plate. When 'NOT CURRENTLY IN USE' is displayed it is black legend on Cl.400 yellow reflectorised plate. R5-207-2n Plate must also be used. Permit Holders Excepted’, a minimum of 1P parking duration is required. Signs that do not meet this requirement are not authorised for installation or use",Special Event Parking Area _p - Major entry (Example Only) sign design plan Published 15 Jun 2023 PDF 53.39 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r5-60-4.gif?itok=jTI3zbR1,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r5-60-4.pdf,Original PDFs/r5-60-4.pdf,r5-60-4n-special-event-parking-area-p-major-entry
R5-62-3n,Parking Area _p Ticket (specified times) - Repeater (Internal) (Example Only),R5-62-3n - Parking Area _p Ticket (specified times) - Repeater (Internal) (Example Only),No,Yes – available.,NSW Road Rules 204,AS1742.11 (Parking Control),Pay Parking (Roads and Maritime Services ),Panel sizes and arrangements to be in accordance with AS1742.11 and AS1743 Cl.400 Dark Green reflectorised '2P' and 'TICKET'. R5-201n Plate must also be used.,R5-62-3n - Parking Area _p Ticket (specified times) - Repeater (Example Only) Published 4 Mar 2025 PDF 69.5 KB,,,,r5-62-3n-parking-area-p-ticket-specified-times
